0.309027778,0.309027778,0.346666667,0,0.5,0.5,0.5
0.673611111,0.673611111,0.346666667,1,0.5,0.5,0.5
0.309027778,0.309027778,0.346666667,1,0.5,0.5,0.5
0.430555556,0.916666667,0.346666667,0.285714286,0.5,0.5,0.5
0.43941775,0.541677892,1,0.638070345,0.843683124,0.216757044,0
0.532860935,0.790469468,1,0.527878284,1,0.217574492,0
0.940104045,0.629115831,1,0.50877992,1,1,0.147801466
0.372395707,0.585503255,1,0.941356486,0.391946704,0,0
0.227901553,1,0.712073697,0.683321542,0.531761427,1,0.112399856
1,0.971120295,1,1,0.269006118,0.847018964,0
0.439280195,1,0.528590221,1,1,1,0.336706389
0.549917408,1,0.76271464,1,1,0.757048871,0.221194951
0.360044301,1,1,1,1,0,0.131659091
1,0,1,0.355953097,1,0.376773536,0
0.814987452,0.630674322,1,1,0.508683632,0,0
0.698615343,1,1,0.921913033,1,0.841498651,0
0.932603835,0.931793501,1,0.660559822,0.041193896,0.557672236,0
0.401699426,0.59671642,0.977131932,1,0.662318223,0.281653556,0
0.454599586,0.95129226,1,1,0.974642781,0.384386826,0
1,1,0,0,0,1,1
1,0.841150168,0.065717589,0.002506385,0.79741121,1,0.994710703
0,1,1,1,0.905412972,0.364859641,0.586131036
0.922154546,0.823217392,0.428576678,0.851911783,1,1,1
0.074320334,0.996710692,1,0,1,0.808812968,0.151604887
1,1,1,1,0.956142128,0.145936742,0.074111983
1,1,1,1,0.467435837,0,0
0.302857755,0.711830662,1,0,0.636932473,0.842121708,0.742282462
0.378744762,1,1,0.146947172,0,1,0
0.63397128,1,0.886296032,1,1,1,1
0.496721087,0.492646339,0.924358781,0.135195357,1,0.701320594,0.922083494
0.634787917,0.336372197,0.889528096,0.171655983,1,1,1
0.177821752,0.813877731,1,0.776913588,1,1,0.232091382
0,1,1,0.052381463,1,0.631266177,0.789439023
0.684804261,1,0.875075281,0,1,0.234381914,0.497097701
1,0.821733832,1,0,1,1,1
1,0.806093156,0.965779483,0.252057254,1,0.096086316,0.428435415
1,0,0.359055966,0.72296685,0,0.343133122,1
0.793254197,1,0.819090009,0,0.3953664,0.991571546,0.980301559
0,1,1,0,0.738975286,0.427594155,1
0.503599703,0,0,0.118555166,0.875933468,1,0.868585348
0.998900414,0.881945133,0.567451835,0.481241554,0.984127343,1,0.319645405
0,1,0.897419512,0.990258932,0.282381773,1,0.590792298
0.263033181,0.873853981,0.991416216,1,1,0.844503522,0.596929073
0,1,0.386715621,0,1,1,0.176239938
1,0.900818169,1,0,0.38767001,1,0
0.748406768,1,1,0.824829936,1,0.879122794,0
0.093008623,0.539155126,0,0,0.860755384,1,1
0.910990894,1,0.813054323,0,0.943836808,0.500481725,0.949387252
0.802032709,0.718889773,0,0,1,0.594729722,1
0,1,1,0,0.699619412,0.837901771,0.9208529
0.090063371,1,0.668219745,0,0.287044823,1,1
0,1,0,0.458300084,0.768909991,0.947059035,1
0,1,1,0,1,1,0.899913073
0.935776412,1,1,0.772562325,0.371691078,1,1
1,1,0,0.069748975,0,0.979036093,0.101433165
0.202414185,1,0.122621849,1,0.917847574,1,0.532931268
1,0.706834257,1,0.740950346,1,0.821993828,0
0.411220968,1,0.957839549,0.960776448,1,1,0.772842944
0,1,1,0.825140297,0,1,1
1,1,0.602654755,0.858794749,0.54231149,0,0.038402148
0.070302881,1,0.337221354,0,0.392241299,1,1
0,1,0.617016852,0.074686088,0.113247506,0.718843043,0.976729453
0,1,0.978586674,0,1,1,0.480024576
1,0,0.46590811,0.338035613,0.922315836,1,1
1,0.855008781,0,0.757587373,1,0.827135563,1
